Scores for the first eight non-phylogenetic PCÕs for all species (n = 2028) in our data. ,,,,,,,,,,,,
,,,,,,,,,,,,
TipLabel,Genus,Family,Order,Subgroup,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
Abeillia_abeillei,Abeillia,Trochilidae,APODIFORMES,TROCHILIFORMES,-0.251438212,0.052936913,0.008187808,-0.027348064,0.02201082,-0.000701658,-0.003418529,0.001918955
Abroscopus_schisticeps,Abroscopus,Sylviidae,PASSERIFORMES,Sylvioidea,-2.47E-05,0.062320775,0.046805778,-0.011835152,0.029777025,0.002695103,-0.009176317,-0.001744261
Aburria_aburri,Aburria,Cracidae,GALLIFORMES,GALLIFORMES,0.095783605,-0.054166301,0.006069233,0.011087213,0.038020536,0.003511522,0.015789425,0.000856149
Acanthagenys_rufogularis,Acanthagenys,Meliphagidae,PASSERIFORMES,Meliphagoidea,-0.091800853,0.024913271,-0.044880221,0.018369685,-0.000421817,0.004653996,-0.004641247,0.007566789
Acanthidops_bairdii,Acanthidops,Emberizidae,PASSERIFORMES,Passeroidea,-0.110337235,-0.123648641,0.012127126,-0.052360093,-0.071409304,-0.002345062,0.01642296,0.005381611
Acanthisitta_chloris,Acanthisitta,Acanthisittidae,PASSERIFORMES,Acanthisitti,-0.20472547,0.031651151,0.026307293,-0.023245741,-0.003488497,-0.01783954,-0.004810988,0.007388134
Acanthiza_murina,Acanthiza,Acanthizidae,PASSERIFORMES,Meliphagoidea,-0.045422955,-0.031714696,0.040912958,-0.00463622,-0.020141481,-0.006883596,0.001583295,-0.004825273
Acanthorhynchus_superciliosus,Acanthorhynchus,Meliphagidae,PASSERIFORMES,Meliphagoidea,-0.25039272,-0.057838849,-0.033788244,0.056546636,0.012126651,0.015678911,0.000726009,0.014547135
Acanthornis_magna,Acanthornis,Acanthizidae,PASSERIFORMES,Meliphagoidea,-0.124143864,-0.032174583,-0.000894805,0.017088015,0.002084057,0.004845811,-0.000104334,0.001836396
Accipiter_tachiro,Accipiter,Accipitridae,ACCIPITRIFORMES,ACCIPITRIFORMES,0.311741325,-0.014564897,-0.103803335,0.007623273,-0.002856485,-0.001300188,0.023932507,0.00456196
Aceros_narcondami,Aceros,Bucerotidae,BUCEROTIFORMES,BUCEROTIFORMES,-0.053687961,-0.184387189,-0.059562524,0.03630177,-0.022726756,0.021065401,-0.025681943,0.025459932
Achaetops_pycnopygius,Achaetops,Sylviidae,PASSERIFORMES,Sylvioidea,-0.063434861,0.028289429,-0.016367295,0.000219213,-0.018117461,-0.002016806,0.004268767,-0.004886901
Acridotheres_tristis,Acridotheres,Sturnidae,PASSERIFORMES,Muscicapoidea,-0.002340229,0.086230384,-0.009970451,-0.031055076,-0.005619299,-0.010973683,0.004400341,0.001597651
Acrocephalus_concinens,Acrocephalus,Sylviidae,PASSERIFORMES,Sylvioidea,-0.109305232,0.075141992,0.004719809,-0.009883272,0.016499971,-0.002079463,-0.003807088,-0.001004202
Acropternis_orthonyx,Acropternis,Rhinocryptidae,PASSERIFORMES,Furnariidae,0.092114288,-0.389699237,-0.002014483,-0.037065978,-0.064782774,0.044156162,0.007788392,0.020899016
Acryllium_vulturinum,Acryllium,Numididae,GALLIFORMES,GALLIFORMES,0.141254467,-0.200326767,-0.007137978,0.017743723,0.036501876,0.00493461,-0.009945045,-0.016939111
Actenoides_hombroni,Actenoides,Alcedinidae,CORACIIFORMES,CORACIIFORMES,-0.099359066,0.113832701,0.001274108,-0.058296902,-0.024727385,-0.02115858,-0.004912641,-0.001764322
Actinodura_egertoni,Actinodura,Timaliidae,PASSERIFORMES,Sylvioidea,0.008104051,0.006921206,0.003127525,-0.003844054,0.00485927,-0.011195033,-0.001643407,-0.005215613
Actitis_macularius,Actitis,Scolopacidae,CHARADRIIFORMES,CHARADRIIFORMES,-0.275044187,-0.074407349,0.027352636,-0.000685483,0.012941939,0.002323393,0.009414307,0.004859466
Actophilornis_albinucha,Actophilornis,Jacanidae,CHARADRIIFORMES,CHARADRIIFORMES,-0.198833635,-0.121874621,0.041743354,0.018512935,0.005603977,-0.010414664,0.001559479,-0.006533085
Adelomyia_melanogenys,Adelomyia,Trochilidae,APODIFORMES,TROCHILIFORMES,-0.279091261,-0.019662998,0.014492486,-0.010230203,0.0039141,0.000145543,-0.001859377,0.00745586
Aechmophorus_occidentalis,Aechmophorus,Podicipedidae,PODICIPEDIFORMES,PODICIPEDIFORMES,-0.305113371,0.056741716,-0.012762584,-0.034038566,-0.016484333,-0.015540019,0.002931405,0.007162511
Aegithalos_concinnus,Aegithalos,Aegithalidae,PASSERIFORMES,Sylvioidea,0.155815334,0.080549095,-0.020791868,-0.016803372,-0.01703488,0.017519862,-0.004629138,-0.000874341
Aegithina_viridissima,Aegithina,Aegithinidae,PASSERIFORMES,Corvoidea,-0.040780906,-0.006933383,0.021088056,0.019929747,-0.014334501,0.001862715,-0.002889792,-0.003130878
Aegolius_harrisii,Aegolius,Strigidae,STRIGIFORMES,STRIGIFORMES,0.295240513,-0.130815007,-0.061703547,0.023613293,0.005140728,-0.028182369,9.41E-05,-0.014587137
Aegotheles_cristatus,Aegotheles,Aegothelidae,APODIFORMES,APODIFORMES,0.38679264,0.386010746,0.156031334,0.059577225,0.052939407,0.036112533,0.000744234,0.016534484
Aegypius_monachus,Aegypius,Accipitridae,ACCIPITRIFORMES,ACCIPITRIFORMES,0.136896004,0.009764015,-0.095041001,0.038390944,0.03733891,-0.041821546,-0.006881653,-0.031755774
Aenigmatolimnas_marginalis,Aenigmatolimnas,Rallidae,GRUIFORMES,GRUIFORMES,-0.057341798,-0.049724211,-0.054499249,-0.0375904,-0.040959216,-0.00635108,-0.006990672,-0.001669443
