"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"117266","occ","","","9070","Cynodictis lacustris","species","349281","Late Eocene","","37.2","33.9","11154"
"150070","occ","","","13293","Cuon","genus","41204","Middle Pleistocene","Late Pleistocene","0.781","0.0117","4412"
"176227","occ","3083","","16626","Hesperocyon","genus","41217","Late Uintan","","46.2","40.4","1139"
"176384","occ","","","16647","Neovulpavus washakius","species","49147","Uintan","","46.2","40.4","2495"
"177551","occ","","","16840","Hesperocyon","genus","41217","Duchesnean","Chadronian","40.4","33.9","3359"
"177611","occ","3336","","16845","Hesperocyon gregarius","species","44845","Duchesnean","","40.4","37.2","6226"
"177871","occ","","","16891","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6226"
"177897","occ","","","16896","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","1803"
"177901","occ","3419","","16898","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6294"
"177975","occ","","","16917","Hesperocyon","genus","41217","Chadronian","","37.2","33.9","2716"
"177988","occ","","","16918","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","1757"
"178029","occ","","","16919","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","3318"
"178030","occ","","","16919","Canidae","family","41189","Chadronian","","37.2","33.9","3318"
"178086","occ","3465","","16920","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6294"
"178117","occ","3480","","16924","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6294"
"178127","occ","3486","","16925","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6294"
"178134","occ","","","16927","Hesperocyon","genus","41217","Chadronian","","37.2","33.9","2398"
"178144","occ","","","16928","Hesperocyon","genus","41217","Middle Chadronian","","37.2","33.9","3318"
"178172","occ","3497","","16929","Hesperocyon gregarius","species","44845","Chadronian","","37.2","33.9","6294"
