Species	Status	min_age	max_age
Cynodictis_lacustris	extinct	33.9	37.2
Cuon	extinct	0.0117	0.781
Hesperocyon	extinct	40.4	46.2
Neovulpavus_washakius	extinct	40.4	46.2
Hesperocyon	extinct	33.9	40.4
Hesperocyon_gregarius	extinct	37.2	40.4
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Canidae	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon	extinct	33.9	37.2
Hesperocyon	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon	extinct	33.9	37.2
Hesperocyon	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon	extinct	33.9	37.2
Hesperocyon	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon	extinct	33.9	37.2
Hesperocyon	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Canidae	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Canidae	extinct	33.9	37.2
Hesperocyon	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.9	37.2
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_coloradensis	extinct	33.3	33.9
Hesperocyon_coloradensis	extinct	33.3	33.9
Hesperocyon	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Otarocyon_macdonaldi	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Mesocyon_temnodon	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Osbornodon_renjiei	extinct	33.3	33.9
Hesperocyon	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon	extinct	33.3	33.9
Hesperocyon	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon	extinct	33.3	33.9
Hesperocyon	extinct	33.3	33.9
Hesperocyon	extinct	33.3	33.9
Hesperocyon	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Otarocyon_macdonaldi	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Hesperocyon_gregarius	extinct	33.3	33.9
Archaeocyon_pavidus	extinct	30.8	33.3
Hesperocyon	extinct	24.8	33.3
Mesocyon_temnodon	extinct	30.8	33.3
Hesperocyon_gregarius	extinct	30.8	33.3
Mesocyon_temnodon	extinct	30.8	33.3
Mesocyon_temnodon	extinct	30.8	33.3
Cynodesmus_thooides	extinct	30.8	33.3
Archaeocyon_pavidus	extinct	30.8	33.3
Osbornodon_sesnoni	extinct	30.8	33.3
Canidae	extinct	33.3	33.9
Mesocyon_temnodon	extinct	30.8	33.3
Cynodesmus_thooides	extinct	30.8	33.3
Hesperocyon_gregarius	extinct	30.8	33.3
Archaeocyon_pavidus	extinct	30.8	33.3
Oxetocyon_cuspidatus	extinct	30.8	33.3
Mesocyon_temnodon	extinct	30.8	33.3
Mesocyon_temnodon	extinct	30.8	33.3
Archaeocyon_leptodus	extinct	30.8	33.3
Hesperocyon	extinct	30.8	33.3
Hesperocyon	extinct	30.8	33.3
Oxetocyon	extinct	30.8	33.3
Hesperocyon	extinct	30.8	33.3
Oxetocyon	extinct	30.8	33.3
Cynodesmus_thooides	extinct	30.8	33.3
Ectopocynus_antiquus	extinct	30.8	33.3
Mesocyon_temnodon	extinct	30.8	33.3
Cynodesmus_thooides	extinct	30.8	33.3
Cynodesmus_thooides	extinct	30.8	33.3
Hesperocyon_gregarius	extinct	30.8	33.3
Mesocyon_temnodon	extinct	30.8	33.3
Cynodesmus_thooides	extinct	30.8	33.3
Paraenhydrocyon_josephi	extinct	20.43	30.8
Cynarctoides_lemur	extinct	20.43	30.8
Phlaocyon_latidens	extinct	30.8	33.3
Archaeocyon_pavidus	extinct	30.8	33.3
Rhizocyon_oregonensis	extinct	20.43	30.8
Enhydrocyon	extinct	30.8	33.3
Archaeocyon_pavidus	extinct	30.8	33.3
Mesocyon_temnodon	extinct	30.8	33.3
Canidae	extinct	30.8	33.3
Mesocyon_temnodon	extinct	30.8	33.3
Mesocyon_temnodon	extinct	30.8	33.3
Hesperocyon_gregarius	extinct	30.8	33.3
Hesperocyon	extinct	30.8	33.3
Oxetocyon_cuspidatus	extinct	30.8	33.3
Hesperocyon_gregarius	extinct	30.8	33.3
Archaeocyon_pavidus	extinct	30.8	33.3
Archaeocyon_leptodus	extinct	30.8	33.3
Mesocyon_temnodon	extinct	30.8	33.3
Archaeocyon_pavidus	extinct	30.8	33.3
Hesperocyon	extinct	30.8	33.3
Oxetocyon_cuspidatus	extinct	30.8	33.3
Hesperocyon_gregarius	extinct	30.8	33.3
Oxetocyon_cuspidatus	extinct	30.8	33.3
Mesocyon_temnodon	extinct	30.8	33.3
Osbornodon_renjiei	extinct	30.8	33.3
Cynodesmus_thooides	extinct	30.8	33.3
