Species	Status
Aelurodon	extinct
Aelurodon_asthenostylus	extinct
Aelurodon_ferox	extinct
Aelurodon_mcgrewi	extinct
Aelurodon_montanensis	extinct
Aelurodon_stirtoni	extinct
Aelurodon_taxoides	extinct
Aelurodon_wheelerianus	extinct
Alopex	extinct
Alopex_lagopus	extinct
Archaeocyon_falkenbachi	extinct
Archaeocyon_leptodus	extinct
Archaeocyon_pavidus	extinct
Borophaginae	extinct
Borophagus	extinct
Borophagus_diversidens	extinct
Borophagus_dudleyi	extinct
Borophagus_hilli	extinct
Borophagus_littoralis	extinct
Borophagus_orc	extinct
Borophagus_parvus	extinct
Borophagus_pugnator	extinct
Borophagus_secundus	extinct
Caedocyon_tedfordi	extinct
Canidae	extinct
Caninae	extinct
Canini	extinct
Canis	extinct
Canis_(Pseudalopex)	extinct
Canis_adustus	extant
Canis_anthus	extant
Canis_apolloniensis	extinct
Canis_armbrusteri	extinct
Canis_aureus	extant
Canis_cedazoensis	extinct
Canis_dirus	extinct
Canis_edwardii	extinct
Canis_familiaris	extant
Canis_ferox	extinct
Canis_latrans	extant
Canis_lepophagus	extinct
Canis_lupus	extant
Canis_mesomelas	extant
Canis_proplatensis	extinct
Canis_rufus	extant
Canis_thooides	extinct
Carpocyon	extinct
Carpocyon_compressus	extinct
Carpocyon_limosus	extinct
Carpocyon_robustus	extinct
Carpocyon_webbi	extinct
Cerdocyon_avius	extinct
Cerdocyon_texanus	extinct
Cerdocyon_thous	extinct
Chailicyon_crassidens	extinct
Chrysocyon	extinct
Chrysocyon_brachyurus	extinct
Chrysocyon_nearcticus	extinct
Cormocyon	extinct
Cormocyon_copei	extinct
Cormocyon_haydeni	extinct
Cubacyon_transversidens	extinct
Cuon	extinct
Cuon_alpinus	extinct
Cynarctoides_acridens	extinct
Cynarctoides_emryi	extinct
Cynarctoides_gawnae	extinct
Cynarctoides_harlowi	extinct
Cynarctoides_lemur	extinct
Cynarctoides_luskensis	extinct
Cynarctoides_roii	extinct
Cynarctoides_whistleri	extinct
Cynarctus	extinct
Cynarctus_crucidens	extinct
Cynarctus_galushai	extinct
Cynarctus_marylandica	extinct
Cynarctus_saxatilis	extinct
Cynarctus_voorhiesi	extinct
Cynarctus_wangi	extinct
Cynodesmus_martini	extinct
Cynodesmus_thooides	extinct
Cynodictis	extinct
Cynodictis_lacustris	extinct
Cynotherium	extinct
Cynotherium_sardous	extinct
Desmocyon	extinct
Desmocyon_matthewi	extinct
Desmocyon_thomsoni	extinct
Dusicyon	extinct
Dusicyon_avus	extinct
Dusicyon_culpaeus	extinct
Dusicyon_sechurae	extinct
Ectopocynus_antiquus	extinct
Ectopocynus_intermedius	extinct
Ectopocynus_simplicidens	extinct
Enhydrocyon	extinct
Enhydrocyon_basilatus	extinct
Enhydrocyon_crassidens	extinct
Enhydrocyon_pahinsintewakpa	extinct
Enhydrocyon_stenocephalus	extinct
Epicyon	extinct
Epicyon_aelurodontoides	extinct
Epicyon_haydeni	extinct
Epicyon_saevus	extinct
Eucyon	extinct
Eucyon_davisi	extinct
Eucyon_skinneri	extinct
Euoplocyon_brachygnathus	extinct
Euoplocyon_spissidens	extinct
Gobicyon	extinct
Hesperocyon	extinct
Hesperocyon_coloradensis	extinct
Hesperocyon_gregarius	extinct
Hesperocyoninae	extinct
Leptocyon	extinct
Leptocyon_delicatus	extinct
Leptocyon_douglassi	extinct
Leptocyon_gregorii	extinct
Leptocyon_leidyi	extinct
Leptocyon_matthewi	extinct
Leptocyon_mollis	extinct
Leptocyon_tejonensis	extinct
Leptocyon_vafer	extinct
Leptocyon_vulpinus	extinct
Lycaon	extinct
Lycaon_pictus	extinct
Mesocyon	extinct
Mesocyon_brachyops	extinct
Mesocyon_coryphaeus	extinct
Mesocyon_temnodon	extinct
Metalopex_bakeri	extinct
Metalopex_macconnelli	extinct
Metalopex_merriami	extinct
Metatomarctus	extinct
Metatomarctus_canavus	extinct
Microtomarctus_conferta	extinct
Neovulpavus_washakius	extinct
Nyctereutes	extinct
Nyctereutes_abdeslami	extinct
Nyctereutes_procyonoides	extinct
Osbornodon_brachypus	extinct
Osbornodon_fricki	extinct
Osbornodon_iamonensis	extinct
Osbornodon_renjiei	extinct
Osbornodon_scitulus	extinct
Osbornodon_sesnoni	extinct
Osbornodon_wangi	extinct
Otarocyon_cooki	extinct
Otarocyon_macdonaldi	extinct
Otocyon	extinct
Otocyon_megalotis	extinct
Oxetocyon	extinct
Oxetocyon_cuspidatus	extinct
Paracynarctus_kelloggi	extinct
Paracynarctus_sinclairi	extinct
Paraenhydrocyon_josephi	extinct
Paraenhydrocyon_robustus	extinct
Paraenhydrocyon_wallovianus	extinct
Paratomarctus_euthos	extinct
Paratomarctus_temerarius	extinct
Philotrox_condoni	extinct
Phlaocyon	extinct
Phlaocyon_achoros	extinct
Phlaocyon_annectens	extinct
Phlaocyon_latidens	extinct
Phlaocyon_leucosteus	extinct
Phlaocyon_mariae	extinct
Phlaocyon_marslandensis	extinct
Phlaocyon_minor	extinct
Phlaocyon_multicuspus	extinct
Phlaocyon_taylori	extinct
Phlaocyon_yatkolai	extinct
Protemnocyon_inflatus	extinct
Protepicyon_raki	extinct
Protocyon	extinct
Protocyon_orcesi	extinct
Protocyon_tarijensis	extinct
Protocyon_troglodytes	extinct
Protomarctus_optatus	extinct
Psalidocyon_marianae	extinct
Pseudalopex_gymnocercus	extant
Rhizocyon_oregonensis	extinct
Speothos	extinct
Speothos_venaticus	extinct
Sunkahetanka_geringensis	extinct
Tephrocyon_rurestris	extinct
Theriodictis	extinct
Theriodictis_floridanus	extinct
Tomarctus	extinct
Tomarctus_brevirostris	extinct
Tomarctus_hippophaga	extinct
Urocyon	extinct
Urocyon_cinereoargenteus	extinct
Urocyon_citrinus	extinct
Urocyon_galushai	extinct
Urocyon_minicephalus	extinct
Urocyon_progressus	extinct
Urocyon_webbi	extinct
Vulpes	extinct
Vulpes_cascadensis	extinct
Vulpes_chama	extinct
Vulpes_kernensis	extinct
Vulpes_mathisoni	extinct
Vulpes_stenognathus	extinct
Vulpes_velox	extinct
Vulpes_vulpes	extinct
Vulpes_vulpes_macroura	extinct
